row_type,scenario,security_id,action,planned_qty,earliest_execution,reference_price,estimated_execution_price,gross_CNY,commission_CNY,stamp_tax_CNY,transfer_fee_CNY,slippage_cost_CNY,net_cash_CNY,transferable_date,post_trade_qty,realized_pnl_CNY,plan_note,source_ids,nav_basis,post_nav_CNY,deadline_withdrawable_cash_CNY,risk_asset_weight,max_single_weight,highvol_weight,electronic_weight,portfolio_volatility,max_risk_contribution_share,stress01_loss_rate,stress02_loss_rate,all_hard_constraints_met,soft_A_12000_met
summary,流动性优先_D持续无买盘,TOTAL,SUMMARY,13900,,,,311204.32000000,77.80108000,155.60216000,3.11204320,155.68000000,310967.80471680,,"{""A"": 4100, ""B"": 12500, ""C"": 8000, ""D"": 10000, ""ETF"": 50000}",16365.67560569,仅卖A，避免依赖D/C成交；A剩4100,recalculation,statement,1038407.80471680,386953.62471680,0.62854882,0.19838064,0.21844982,0.21844982,0.17414957,0.41355898,0.07848236,0.08988424,YES,NO
summary,流动性优先_D持续无买盘,TOTAL,SUMMARY,13900,,,,311204.32000000,77.80108000,155.60216000,3.11204320,155.68000000,310967.80471680,,"{""A"": 4100, ""B"": 12500, ""C"": 8000, ""D"": 10000, ""ETF"": 50000}",16365.67560569,仅卖A，避免依赖D/C成交；A剩4100,recalculation,reconstructed,1043393.62471680,386953.62471680,0.62554532,0.19743268,0.21740597,0.21740597,0.17331740,0.41355898,0.07810734,0.08945473,YES,NO
trade,风险预算优先,SYN201.SH,SELL,10000,2026-08-31 09:30,22.40000000,22.38880000,223888.00000000,55.97200000,111.94400000,2.23888000,112.00000000,223717.84512000,2026-09-01 09:00,8000,11773.86734222,D分两日9000+1000，A剩8000，D退出,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
trade,风险预算优先,SYN204.SZ,SELL,10000,9000 on 2026-08-31; 1000 on 2026-09-01,13.50000000,13.45950000,134595.00000000,35.28387500,67.29750000,1.34595000,405.00000000,134491.07267500,9000-lot on 2026-09-01; 1000-lot on 2026-09-02,0,-33552.60732500,D分两日9000+1000，A剩8000，D退出,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
summary,风险预算优先,TOTAL,SUMMARY,20000,,,,358483.00000000,91.25587500,179.24150000,3.58483000,517.00000000,358208.91779500,,"{""A"": 8000, ""B"": 12500, ""C"": 8000, ""D"": 0, ""ETF"": 50000}",-21778.73998278,D分两日9000+1000，A剩8000，D退出,recalculation,statement,1038008.91779500,434194.73779500,0.58289480,0.19845687,0.17263821,0.17263821,0.14373629,0.52338312,0.06114736,0.05931789,YES,NO
summary,风险预算优先,TOTAL,SUMMARY,20000,,,,358483.00000000,91.25587500,179.24150000,3.58483000,517.00000000,358208.91779500,,"{""A"": 8000, ""B"": 12500, ""C"": 8000, ""D"": 0, ""ETF"": 50000}",-21778.73998278,D分两日9000+1000，A剩8000，D退出,recalculation,reconstructed,1042994.73779500,434194.73779500,0.58010839,0.19750819,0.17181295,0.17181295,0.14304918,0.52338312,0.06085505,0.05903433,YES,NO
trade,D部分成交3000_替代,SYN201.SH,SELL,8500,2026-08-31 09:30,22.40000000,22.38880000,190304.80000000,47.57620000,95.15240000,1.90304800,95.20000000,190160.16835200,2026-09-01 09:00,9500,10007.78724089,D仅成交3000时，A需累计卖8500以满足全部hard,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
trade,D部分成交3000_替代,SYN204.SZ,SELL,3000,2026-08-31 09:30,13.50000000,13.45950000,40378.50000000,10.09462500,20.18925000,0.40378500,121.50000000,40347.81234000,2026-09-01 09:00,7000,-10065.29166000,D仅成交3000时，A需累计卖8500以满足全部hard,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
summary,D部分成交3000_替代,TOTAL,SUMMARY,11500,,,,230683.30000000,57.67082500,115.34165000,2.30683300,216.70000000,230507.98069200,,"{""A"": 9500, ""B"": 12500, ""C"": 8000, ""D"": 7000, ""ETF"": 50000}",-57.50441911,D仅成交3000时，A需累计卖8500以满足全部hard,recalculation,statement,1038407.98069200,306493.80069200,0.70603271,0.20492909,0.29593378,0.29593378,0.20372993,0.45023976,0.08969933,0.08983223,YES,NO
summary,D部分成交3000_替代,TOTAL,SUMMARY,11500,,,,230683.30000000,57.67082500,115.34165000,2.30683300,216.70000000,230507.98069200,,"{""A"": 9500, ""B"": 12500, ""C"": 8000, ""D"": 7000, ""ETF"": 50000}",-57.50441911,D仅成交3000时，A需累计卖8500以满足全部hard,recalculation,reconstructed,1043393.80069200,306493.80069200,0.70265896,0.20394984,0.29451967,0.29451967,0.20275641,0.45023976,0.08927070,0.08940297,YES,NO
trade,ETF仅筹现反例,SYNETF.SH,SELL,44700,2026-08-31 09:30,4.12000000,4.11917600,184127.16720000,36.82543344,0.00000000,0.00000000,36.83280000,184090.34176656,2026-09-01 09:00,5300,8822.53576656,现金达标但单票、高波动、电子、压力和风险贡献仍超限,FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-04|SLIP-05|OPS-01|OPS-03|OPS-04,,,,,,,,,,,,,
summary,ETF仅筹现反例,TOTAL,SUMMARY,44700,,,,184127.16720000,36.82543344,0.00000000,0.00000000,36.83280000,184090.34176656,,"{""A"": 18000, ""B"": 12500, ""C"": 8000, ""D"": 10000, ""ETF"": 5300}",8822.53576656,现金达标但单票、高波动、电子、压力和风险贡献仍超限,recalculation,statement,1038726.34176656,260076.16176656,0.75080988,0.38816769,0.51813454,0.51813454,0.27751504,0.65001041,0.11645679,0.10742100,NO,YES
summary,ETF仅筹现反例,TOTAL,SUMMARY,44700,,,,184127.16720000,36.82543344,0.00000000,0.00000000,36.83280000,184090.34176656,,"{""A"": 18000, ""B"": 12500, ""C"": 8000, ""D"": 10000, ""ETF"": 5300}",8822.53576656,现金达标但单票、高波动、电子、压力和风险贡献仍超限,recalculation,reconstructed,1043712.16176656,260076.16176656,0.74722326,0.38631341,0.51565941,0.51565941,0.27618935,0.65001041,0.11590048,0.10690785,NO,YES
cash_sensitivity,基准价_A单独筹现,SYN201.SH,SELL,8300,2026-08-31 09:30,22.40000000,22.38880000,185827.04000000,46.45676000,92.91352000,1.85827040,92.96000000,185685.81144960,2026-09-01 09:00,9700,9772.30989404,仅证明现金目标：期末可划转261671.63；必须另查全部hard,CLIENT-01|FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-05,,,,,,,,,,,,,
cash_sensitivity,基准价_ETF单独筹现,SYNETF.SH,SELL,44700,2026-08-31 09:30,4.12000000,4.11917600,184127.16720000,36.82543344,0.00000000,0.00000000,36.83280000,184090.34176656,2026-09-01 09:00,5300,8822.53576656,仅证明现金目标：期末可划转260076.16；必须另查全部hard,CLIENT-01|FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-05,,,,,,,,,,,,,
cash_sensitivity,较收盘跌5%_A单独筹现,SYN201.SH,SELL,8700,2026-08-31 09:30,21.28000000,21.26936000,185043.43200000,46.26085800,92.52171600,1.85043432,92.56800000,184902.79899168,2026-09-01 09:00,9300,511.53832501,仅证明现金目标：期末可划转260888.62；必须另查全部hard,CLIENT-01|FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-05,,,,,,,,,,,,,
cash_sensitivity,较收盘跌5%_ETF单独筹现,SYNETF.SH,SELL,47100,2026-08-31 09:30,3.91400000,3.91321720,184312.53012000,36.86250602,0.00000000,0.00000000,36.86988000,184275.66761398,2026-09-01 09:00,2900,-402.49038602,仅证明现金目标：期末可划转260261.49；必须另查全部hard,CLIENT-01|FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-05,,,,,,,,,,,,,
cash_sensitivity,较收盘跌10%_A单独筹现,SYN201.SH,SELL,9200,2026-08-31 09:30,20.16000000,20.14992000,185379.26400000,46.34481600,92.68963200,1.85379264,92.73600000,185238.37575936,2026-09-01 09:00,8800,-9750.08379620,仅证明现金目标：期末可划转261224.20；必须另查全部hard,CLIENT-01|FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-05,,,,,,,,,,,,,
cash_sensitivity,较收盘跌10%_ETF单独筹现,SYNETF.SH,SELL,49700,2026-08-31 09:30,3.70800000,3.70725840,184250.74248000,36.85014850,0.00000000,0.00000000,36.85752000,184213.89233150,2026-09-01 09:00,300,-10658.81366850,仅证明现金目标：期末可划转260199.71；必须另查全部hard,CLIENT-01|FEE-01|FEE-02|FEE-03|FEE-04|SLIP-01|SLIP-05,,,,,,,,,,,,,
