scenario_id,scenario_name,day_index,trade_date,price_condition,planned_sell_shares,planned_t_shares,assumed_price,gross_amount,estimated_fees,estimated_net_cash,cumulative_net_cash,post_trade_shares,post_trade_weight_low,post_trade_weight_high,weight_35pct_ok,rc_60pct_status,cash_floor_50k_ok,low_risk_assets_total,low_risk_300k_ok,execution_status,dividend_record_eligible_shares,note
SCN-BELOW,跌破偏好价_仍可交易,10,2026-10-09,价格<20.80(除息后<20.70)但未跌停，软卖价偏好失效，硬约束仍需减仓,0,0,20.00,0.00,0.00,0.00,242450.82,12000,29.9826%,29.9079%,YES,>60%(违反，需继续减仓),YES,446310.82,YES,HOLD_条件未触发,,
SCN-LIMITDOWN,跌停无买盘_不可成交,1,2026-09-21,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,0,0,19.17,0.00,0.00,0.00,0.00,24000,57.4348%,57.2917%,NO,>>60%(严重违反),YES,201460.00,NO,NOT_EXECUTED_跌停无买盘,,
SCN-LIMITDOWN,跌停无买盘_不可成交,2,2026-09-22,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,2000,0,18.21,36420.00,82.31,36337.69,36337.69,22000,50.0181%,49.8935%,NO,>>60%(严重违反),YES,237797.69,NO,EXECUTABLE_条件成立,,
SCN-LIMITDOWN,跌停无买盘_不可成交,3,2026-09-23,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,2000,0,18.21,36420.00,82.31,36337.69,72675.38,20000,45.4765%,45.3632%,NO,>>60%(严重违反),YES,274135.38,NO,EXECUTABLE_条件成立,20000,
SCN-LIMITDOWN,跌停无买盘_不可成交,4,2026-09-24,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,2000,0,18.11,36220.00,81.86,36138.14,108813.52,18000,40.7090%,40.6076%,NO,>>60%(严重违反),YES,310273.52,YES,EXECUTABLE_条件成立,,每日卖出≤9000股(ADV5%); 除息日价格触发线下调0.1元
SCN-LIMITDOWN,跌停无买盘_不可成交,5,2026-09-25,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,2000,0,18.11,36220.00,81.86,36138.14,144951.67,16000,36.1902%,36.1000%,NO,>>60%(严重违反),YES,348811.67,YES,EXECUTABLE_条件成立,,
SCN-LIMITDOWN,跌停无买盘_不可成交,6,2026-09-28,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,2000,0,18.11,36220.00,81.86,36138.14,181089.81,14000,31.6703%,31.5914%,YES,>>60%(严重违反),YES,384949.81,YES,EXECUTABLE_条件成立,,
SCN-LIMITDOWN,跌停无买盘_不可成交,7,2026-09-29,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,2000,0,18.11,36220.00,81.86,36138.14,217227.95,12000,27.1493%,27.0816%,YES,>60%(违反，需继续减仓),YES,421087.95,YES,EXECUTABLE_条件成立,,
SCN-LIMITDOWN,跌停无买盘_不可成交,8,2026-09-30,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,0,0,18.11,0.00,0.00,0.00,217227.95,12000,27.1493%,27.0816%,YES,>60%(违反，需继续减仓),YES,421087.95,YES,HOLD_条件未触发,,
SCN-LIMITDOWN,跌停无买盘_不可成交,9,2026-10-08,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,0,0,18.11,0.00,0.00,0.00,217227.95,12000,27.1493%,27.0816%,YES,>60%(违反，需继续减仓),YES,421087.95,YES,HOLD_条件未触发,,
SCN-LIMITDOWN,跌停无买盘_不可成交,10,2026-10-09,首日跌停无买盘，次日跳空-5%；不得将委托计为成交,0,0,18.11,0.00,0.00,0.00,217227.95,12000,27.1493%,27.0816%,YES,>60%(违反，需继续减仓),YES,421087.95,YES,HOLD_条件未触发,,
SCN-HALT,停牌后复牌_前3日不可成交,1,2026-09-21,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,0,0,21.55,0.00,0.00,0.00,0.00,24000,64.5654%,64.4046%,NO,>>60%(严重违反),YES,201460.00,NO,NOT_EXECUTED_停牌,,
SCN-HALT,停牌后复牌_前3日不可成交,2,2026-09-22,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,0,0,21.55,0.00,0.00,0.00,0.00,24000,64.5654%,64.4046%,NO,>>60%(严重违反),YES,201460.00,NO,NOT_EXECUTED_停牌,,
SCN-HALT,停牌后复牌_前3日不可成交,3,2026-09-23,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,0,0,21.55,0.00,0.00,0.00,0.00,24000,64.5654%,64.4046%,NO,>>60%(严重违反),YES,201460.00,NO,NOT_EXECUTED_停牌,24000,
SCN-HALT,停牌后复牌_前3日不可成交,4,2026-09-24,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,3000,0,18.96,56880.00,128.55,56751.45,56751.45,21000,49.7140%,49.5901%,NO,>>60%(严重违反),YES,258211.45,NO,EXECUTABLE_条件成立,,每日卖出≤9000股(ADV5%); 除息日价格触发线下调0.1元
SCN-HALT,停牌后复牌_前3日不可成交,5,2026-09-25,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,3000,0,18.96,56880.00,128.55,56751.45,113502.90,18000,42.6197%,42.5136%,NO,>>60%(严重违反),YES,317362.90,YES,EXECUTABLE_条件成立,,
SCN-HALT,停牌后复牌_前3日不可成交,6,2026-09-28,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,2000,0,18.96,37920.00,85.70,37834.30,151337.20,16000,37.8888%,37.7944%,NO,>>60%(严重违反),YES,355197.20,YES,EXECUTABLE_条件成立,,
SCN-HALT,停牌后复牌_前3日不可成交,7,2026-09-29,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,2000,0,18.96,37920.00,85.70,37834.30,189171.50,14000,33.1568%,33.0741%,YES,>>60%(严重违反),YES,393031.50,YES,EXECUTABLE_条件成立,,
SCN-HALT,停牌后复牌_前3日不可成交,8,2026-09-30,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,2000,0,18.96,37920.00,85.70,37834.30,227005.80,12000,28.4235%,28.3527%,YES,>60%(违反，需继续减仓),YES,430865.80,YES,EXECUTABLE_条件成立,,
SCN-HALT,停牌后复牌_前3日不可成交,9,2026-10-08,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,0,0,18.96,0.00,0.00,0.00,227005.80,12000,28.4235%,28.3527%,YES,>60%(违反，需继续减仓),YES,430865.80,YES,HOLD_条件未触发,,
SCN-HALT,停牌后复牌_前3日不可成交,10,2026-10-09,前3个交易日停牌，复牌后价格跳空；停牌期间不得假设成交,0,0,18.96,0.00,0.00,0.00,227005.80,12000,28.4235%,28.3527%,YES,>60%(违反，需继续减仓),YES,430865.80,YES,HOLD_条件未触发,,
