plan_id,metric_name,actual_value,threshold,status,gap,calculation_basis,evidence_file
方案B,single_name_300750.SZ,0.183655,0.2,通过,0,交易后300750.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,single_name_002594.SZ,0.136827,0.2,通过,0,交易后002594.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,single_name_600519.SH,0.137737,0.2,通过,0,交易后600519.SH市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,single_name_000858.SZ,0.11655,0.2,通过,0,交易后000858.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,single_name_000333.SZ,0.109425,0.2,通过,0,交易后000333.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,single_name_601318.SH,0.116296,0.2,通过,0,交易后601318.SH市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,top3_weight_max,0.458218,0.5,通过,0,交易后权重前3大股票权重之和,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案B,historical_cvar95_max,0.020576,0.022,通过,0,250日历史CVaR95，m=13,账户与交易约束_20251231T1445.csv; 持仓标的日线_20240102_20251230.csv
方案B,minimum_cash_weight,0.199512,0.18,通过,0,交易后净现金9974227.12/交易后净资产49993227.12,账户与交易约束_20251231T1445.csv
方案C,equity_exposure_max,0.795134,0.82,通过,0,交易后股票市值39750950.00/交易后净资产49992767.27,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,single_name_300750.SZ,0.110194,0.2,通过,0,交易后300750.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,single_name_002594.SZ,0.175921,0.2,通过,0,交易后002594.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,single_name_600519.SH,0.137738,0.2,通过,0,交易后600519.SH市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,single_name_000858.SZ,0.137742,0.2,通过,0,交易后000858.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,single_name_000333.SZ,0.117242,0.2,通过,0,交易后000333.SZ市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,single_name_601318.SH,0.116297,0.2,通过,0,交易后601318.SH市值/交易后净资产,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,top3_weight_max,0.451401,0.5,通过,0,交易后权重前3大股票权重之和,账户与交易约束_20251231T1445.csv; 持仓批次_20251231T1445.csv; 持仓标的报价_20251231T1445.csv
方案C,historical_cvar95_max,0.01976,0.022,通过,0,250日历史CVaR95，m=13,账户与交易约束_20251231T1445.csv; 持仓标的日线_20240102_20251230.csv
方案C,minimum_cash_weight,0.204866,0.18,通过,0,交易后净现金10241817.27/交易后净资产49992767.27,账户与交易约束_20251231T1445.csv
方案C,order_2_600519.SH_executable,待条件恢复,可执行,不通过,报价时效780s>300s，报价陈旧,T+1/整手/交易状态/报价时效/涨跌停/ADV20参与率检查,候选减仓方案_20251231.csv; 持仓标的报价_20251231T1445.csv; 持仓批次_20251231T1445.csv
