scenario,trade_date,event_notes,action,shares,price_basis,gross_amount_cny,commission_cny,transfer_fee_cny,stamp_duty_cny,slippage_cny,total_fee_cny,net_cash_impact_cny,post_trade_M_shares,post_trade_M_weight_low_nav_pct,constraint_weight_35pct,constraint_risk_contrib_60pct,constraint_cash_floor_50k,constraint_stress_8pct,constraint_low_risk_300k_target,constraint_soft_12k_shares,invalidation_reason,notes,evidence_ids
S2_趋势上涨,2026-09-28,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000,48.42,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-29,,SELL,1000,22.3,22300.0,5.58,0.22,11.15,33.45,50.4,22249.6,17000,45.73,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-09-30,分红支付日(0.10 CNY/股资格 × 登记日实际持股),SELL,1000,22.5,22500.0,5.63,0.23,11.25,33.75,50.85,22449.15,16000,43.04,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-10-08,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000,43.04,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S2_趋势上涨,2026-10-09,风险和低风险资产目标截止日,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000,43.04,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,技术偏强不豁免硬约束,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,OK,OK,客户软偏好 20.80 已不被维护; 硬约束优先,观察,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-22,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-23,股权登记日(CASH_DIVIDEND),SELL,2000,20.75,41500.0,10.38,0.42,20.75,62.25,93.79,41406.21,22000,59.18,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,硬约束触发: 在 20.80 下方也不得不减,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-24,除息日(-0.10 CNY/股),SELL,2000,20.65,41300.0,10.33,0.41,20.65,61.95,93.34,41206.66,20000,53.8,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,除息后调整 -0.10 → 软底线 20.70,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-25,"2,400 CNY 应收可划转",SELL,2000,20.5,41000.0,10.25,0.41,20.5,61.5,92.66,40907.34,18000,48.42,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-28,,SELL,2000,20.3,40600.0,10.15,0.41,20.3,60.9,91.76,40508.24,16000,43.04,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-29,,SELL,2000,20.5,41000.0,10.25,0.41,20.5,61.5,92.66,40907.34,14000,37.66,VIOLATED,LIKELY_OK,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-09-30,分红支付日(0.10 CNY/股资格 × 登记日实际持股),SELL,2000,20.4,40800.0,10.2,0.41,20.4,61.2,92.21,40707.79,12000,32.28,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-10-08,,SELL,1000,20.3,20300.0,5.08,0.2,10.15,30.45,45.88,20254.12,11000,29.59,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,VIOLATED_PREF,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S3_跌破软偏好价,2026-10-09,风险和低风险资产目标截止日,SELL,0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,-5.0,11000,29.59,OK,LIKELY_OK,OK,REDUCING_BURDEN,OK,VIOLATED_PREF,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,"9/21 跌停, 不可成交; RULE-06 NO_EXECUTION","跌停无买盘, 不卖",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-22,,SELL,1500,18.4,27600.0,6.9,0.28,13.8,41.4,62.38,27537.62,22500,60.53,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,次日尝试出售,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-23,股权登记日(CASH_DIVIDEND),HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500,60.53,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,若继续跌停维持 HOLD,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-24,除息日(-0.10 CNY/股),SELL,1500,18.1,27150.0,6.79,0.27,13.58,40.73,61.36,27088.64,21000,56.49,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,除息触发价调整,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-25,"2,400 CNY 应收可划转",SELL,1000,18.3,18300.0,5.0,0.18,9.15,27.45,41.78,18258.22,20000,53.8,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-28,,SELL,1000,18.5,18500.0,5.0,0.19,9.25,27.75,42.19,18457.82,19000,51.11,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-29,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000,51.11,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-09-30,分红支付日(0.10 CNY/股资格 × 登记日实际持股),SELL,1500,18.4,27600.0,6.9,0.28,13.8,41.4,62.38,27537.62,17500,47.08,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-10-08,,SELL,1500,18.5,27750.0,6.94,0.28,13.88,41.63,62.72,27687.29,16000,43.04,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S4_跌停无买盘,2026-10-09,风险和低风险资产目标截止日,SELL,1000,18.5,18500.0,5.0,0.19,9.25,27.75,42.19,18457.82,15000,40.35,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,"若跌停, 委托视为现金=0",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,"复牌首日, 价格已跳空 -12%",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-22,,SELL,2000,18.95,37900.0,9.48,0.38,18.95,56.85,85.65,37814.35,22000,59.18,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,复牌后卖单,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-23,股权登记日(CASH_DIVIDEND),SELL,1500,18.8,28200.0,7.05,0.28,14.1,42.3,63.73,28136.27,20500,55.15,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,"登记日, 持股影响分红",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-24,除息日(-0.10 CNY/股),SELL,1500,18.7,28050.0,7.01,0.28,14.03,42.08,63.39,27986.61,19000,51.11,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-25,"2,400 CNY 应收可划转",SELL,1500,18.9,28350.0,7.09,0.28,14.18,42.53,64.07,28285.93,17500,47.08,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-28,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500,47.08,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-29,,SELL,1000,18.85,18850.0,5.0,0.19,9.43,28.28,42.89,18807.11,16500,44.39,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-09-30,分红支付日(0.10 CNY/股资格 × 登记日实际持股),SELL,1500,18.9,28350.0,7.09,0.28,14.18,42.53,64.07,28285.93,15000,40.35,VIOLATED,LIKELY_VIOLATED,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,"分红支付日, 后期权重已显著改善",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-10-08,,SELL,1000,19.0,19000.0,5.0,0.19,9.5,28.5,43.19,18956.81,14000,37.66,VIOLATED,LIKELY_OK,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S5_停牌后复牌,2026-10-09,风险和低风险资产目标截止日,SELL,0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,-5.0,14000,37.66,VIOLATED,LIKELY_OK,OK,REDUCING_BURDEN,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",T_SELL,1000,21.55,21550.0,5.39,0.22,10.78,32.33,48.7,21501.3,23000,61.88,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,T卖@21.55,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-21,"LOT-03 解冻(T+1); 8,960 CNY 结算应收可划转; 应付费用 12 CNY",T_BUY,1000,21.4,21400.0,5.35,0.21,0.0,32.1,37.66,-21437.66,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,T回补@21.40 (价差0.15=覆盖费用),PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-22,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,观察是否再做T,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-23,股权登记日(CASH_DIVIDEND),HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,登记日前避免做T,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-24,除息日(-0.10 CNY/股),HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,除息日不做T,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-25,"2,400 CNY 应收可划转",T_SELL,1500,21.4,32100.0,8.03,0.32,16.05,48.15,72.55,32027.45,22500,60.53,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,T卖,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-25,"2,400 CNY 应收可划转",T_BUY,1500,21.2,31800.0,7.95,0.32,0.0,47.7,55.97,-31855.97,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,T回补 (差0.20),PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-28,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-29,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-09-30,分红支付日(0.10 CNY/股资格 × 登记日实际持股),HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,分红支付日,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-10-08,,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,,PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
S6_纯做T,2026-10-09,风险和低风险资产目标截止日,HOLD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000,64.57,VIOLATED,LIKELY_VIOLATED,OK,UNCHANGED,POSSIBLE_SHORTFALL,OK,,"截止日; 如T不达标, 需追加净减仓",PAR-004..013; EV-SRC-001..010; RULE-/FEE-/LIQ-/RISK-/SCN-*
