ts_code,security_name,trade_date,close,pct_chg,amount,record_status,frequency,timezone,as_of,price_basis,amount_unit,source_api,source_url,retrieved_at,data_nature
000858.SZ,五粮液,2024-01-09,127.81,-0.2264,2241449.42,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-09,192.86,1.8268,2167747.852,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-09,148.7,-0.8667,3473507.46,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-09,1641.0,-0.1819,4009826.496,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-09,38.38,-0.1821,1423188.301,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-10,55.22,0.0906,984854.746,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-10,128.8,0.7746,2118536.476,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-10,190.29,-1.3326,1364589.162,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-10,150.66,1.3181,3500326.62,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-10,1641.5,0.0305,2856120.718,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-10,37.82,-1.4591,1677706.638,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-11,55.0,-0.3984,1168392.665,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-11,129.62,0.6366,2021717.964,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-11,196.78,3.4106,3120354.836,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-11,154.82,2.7612,5037065.544,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-11,1646.57,0.3089,2708764.5,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-11,38.43,1.6129,1457906.651,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-12,55.0,0.0,1343879.865,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-12,128.75,-0.6712,1539729.131,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-12,195.87,-0.4624,1711086.656,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-12,154.63,-0.1227,3943737.151,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-12,1643.06,-0.2132,1908084.612,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-12,38.03,-1.0409,1158392.103,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-15,55.88,1.6,1063527.119,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-15,128.68,-0.0544,1485609.939,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-15,194.61,-0.6433,1364639.692,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-15,151.7,-1.8948,2618158.008,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-15,1640.0,-0.1862,2931202.343,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-15,38.17,0.3681,1244858.223,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-16,56.92,1.8611,1903147.107,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-16,128.41,-0.2098,1604334.708,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-16,195.3,0.3546,1633959.523,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-16,156.95,3.4608,4421625.829,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-16,1639.43,-0.0348,4236042.96,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-16,38.7,1.3885,2095337.501,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-17,56.37,-0.9663,1530395.102,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-17,125.14,-2.5465,2232551.975,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-17,186.8,-4.3523,3050944.39,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-17,152.24,-3.001,3343384.132,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-17,1577.0,-3.808,8251735.591,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-17,38.01,-1.7829,2148072.06,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-18,56.4,0.0532,2175726.536,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-18,127.9,2.2055,2961463.082,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-18,190.48,1.97,2150839.668,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-18,154.61,1.5568,4688436.698,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-18,1610.87,2.1477,9566349.514,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
601318.SH,中国平安,2024-01-18,38.99,2.5783,3289028.901,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000333.SZ,美的集团,2024-01-19,56.14,-0.461,1681993.909,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
000858.SZ,五粮液,2024-01-19,128.89,0.774,2891090.564,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
002594.SZ,比亚迪,2024-01-19,189.34,-0.5985,1540978.199,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
300750.SZ,宁德时代,2024-01-19,154.9,0.1876,4136034.233,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
600519.SH,贵州茅台,2024-01-19,1635.0,1.4979,7550144.389,有行情,日线,Asia/Shanghai,2025-12-30T15:00:00+08:00,close为不复权；风险收益使用pct_chg÷100,千元,TuSharePro.daily,https://tushare.pro/document/1?doc_id=27,Fri Sep 04 2026 20:02:33 GMT+0800 (China Standard Time),公开行情历史快照
